epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1386.33,0.40161,0.29875,0.84752,0.95286,0.90841,0.96389,0.87513,0.43048,0.29918,0.88328,0.0011882,0.0011882,0.0011882
43,1419.35,0.41128,0.30543,0.84843,0.95399,0.93184,0.97915,0.88735,0.44842,0.29668,0.89084,0.0011684,0.0011684,0.0011684
44,1452.33,0.41343,0.30657,0.84766,0.953,0.9113,0.97552,0.88056,0.46922,0.32927,0.89416,0.0011486,0.0011486,0.0011486
45,1485.21,0.4007,0.29807,0.84531,0.98088,0.88764,0.96804,0.87073,0.45139,0.29994,0.89357,0.0011288,0.0011288,0.0011288
46,1518.2,0.4019,0.29235,0.84076,0.95118,0.91011,0.96783,0.88327,0.42525,0.31227,0.87879,0.001109,0.001109,0.001109
47,1551.13,0.39844,0.29878,0.8436,0.9222,0.93232,0.976,0.88498,0.44563,0.31449,0.88567,0.0010892,0.0010892,0.0010892
48,1584.17,0.40133,0.29431,0.84815,0.95978,0.89888,0.9711,0.87601,0.44388,0.31499,0.89284,0.0010694,0.0010694,0.0010694
49,1617.21,0.39,0.28006,0.84166,0.95236,0.89837,0.97953,0.89646,0.41005,0.29242,0.8801,0.0010496,0.0010496,0.0010496
50,1650.31,0.38228,0.27844,0.83684,0.92815,0.93258,0.96228,0.86174,0.44731,0.33354,0.89267,0.0010298,0.0010298,0.0010298
51,1683.4,0.38571,0.28094,0.84236,0.96294,0.88764,0.95952,0.86985,0.43969,0.30669,0.88681,0.00101,0.00101,0.00101
52,1716.33,0.38385,0.27095,0.84073,0.9396,0.93258,0.9631,0.87892,0.43602,0.30849,0.88802,0.0009902,0.0009902,0.0009902
53,1749.3,0.38254,0.27163,0.84289,0.92296,0.94228,0.9696,0.89223,0.41819,0.32152,0.88026,0.0009704,0.0009704,0.0009704
54,1781.21,0.38114,0.27479,0.83984,0.94408,0.94848,0.97021,0.8829,0.42543,0.2887,0.88381,0.0009506,0.0009506,0.0009506
55,1814.1,0.36767,0.26911,0.83693,0.97441,0.89888,0.97741,0.9019,0.41405,0.32015,0.87864,0.0009308,0.0009308,0.0009308
56,1847.05,0.36684,0.26924,0.83613,0.94138,0.92135,0.97544,0.89238,0.4298,0.32696,0.88,0.000911,0.000911,0.000911
57,1880.05,0.36443,0.26386,0.83318,0.95402,0.93242,0.97961,0.89709,0.41315,0.28901,0.87602,0.0008912,0.0008912,0.0008912
58,1913,0.3779,0.27178,0.84304,0.97526,0.92135,0.96546,0.88157,0.43602,0.30458,0.88948,0.0008714,0.0008714,0.0008714
59,1946.04,0.37156,0.26033,0.83885,0.95389,0.92982,0.95531,0.86843,0.43746,0.32465,0.88547,0.0008516,0.0008516,0.0008516
60,1978.92,0.36006,0.25398,0.84397,0.94203,0.92135,0.96934,0.88802,0.4248,0.30056,0.87787,0.0008318,0.0008318,0.0008318
61,2011.91,0.35726,0.25963,0.83311,0.96409,0.90494,0.97359,0.89587,0.41527,0.29559,0.87542,0.000812,0.000812,0.000812
62,2044.87,0.35861,0.25517,0.83463,0.95252,0.92135,0.96637,0.891,0.41905,0.29881,0.87551,0.0007922,0.0007922,0.0007922
63,2077.87,0.35924,0.25294,0.83507,0.96524,0.93597,0.96733,0.88988,0.4247,0.28648,0.88007,0.0007724,0.0007724,0.0007724
64,2110.83,0.35266,0.24666,0.83226,0.95428,0.88764,0.97012,0.89464,0.41954,0.29951,0.87673,0.0007526,0.0007526,0.0007526
65,2143.83,0.35646,0.24923,0.83341,0.9319,0.93258,0.97514,0.89316,0.42745,0.27986,0.87913,0.0007328,0.0007328,0.0007328
66,2176.75,0.34739,0.24,0.83081,0.94565,0.91011,0.96614,0.88918,0.41038,0.30599,0.87568,0.000713,0.000713,0.000713
67,2209.75,0.33712,0.23969,0.8316,0.94323,0.94382,0.96493,0.87861,0.41968,0.3273,0.88058,0.0006932,0.0006932,0.0006932
68,2242.69,0.35014,0.24409,0.82573,0.93246,0.93074,0.97211,0.88596,0.41767,0.27336,0.88273,0.0006734,0.0006734,0.0006734
69,2274.65,0.33615,0.23195,0.82998,0.94214,0.94382,0.96972,0.89128,0.40018,0.27454,0.87784,0.0006536,0.0006536,0.0006536
70,2307.56,0.33515,0.23046,0.82626,0.95388,0.92948,0.97225,0.88885,0.42239,0.32718,0.88429,0.0006338,0.0006338,0.0006338
71,2340.54,0.32665,0.22796,0.82369,0.93307,0.93258,0.97157,0.89746,0.42219,0.31407,0.88888,0.000614,0.000614,0.000614
72,2373.53,0.34328,0.23233,0.83135,0.90216,0.96629,0.96927,0.88715,0.42332,0.30101,0.87885,0.0005942,0.0005942,0.0005942
73,2406.5,0.33041,0.22363,0.82495,0.87839,0.97753,0.95497,0.87147,0.42603,0.32024,0.88528,0.0005744,0.0005744,0.0005744
74,2439.44,0.31679,0.21616,0.82187,0.90516,0.96513,0.9689,0.8839,0.43921,0.31224,0.89213,0.0005546,0.0005546,0.0005546
75,2472.61,0.3256,0.21629,0.83054,0.8999,0.95506,0.97438,0.88974,0.43926,0.31672,0.88805,0.0005348,0.0005348,0.0005348
76,2505.41,0.32333,0.21936,0.81942,0.90417,0.95408,0.96641,0.88215,0.42399,0.31955,0.88059,0.000515,0.000515,0.000515
77,2538.36,0.32336,0.22344,0.82693,0.93294,0.93788,0.96545,0.88976,0.40799,0.32606,0.87638,0.0004952,0.0004952,0.0004952
78,2571.31,0.31387,0.21482,0.81932,0.97307,0.89888,0.97097,0.89121,0.40897,0.31845,0.87891,0.0004754,0.0004754,0.0004754
79,2604.31,0.31259,0.21487,0.82436,0.9396,0.92135,0.97065,0.89374,0.40891,0.32466,0.87988,0.0004556,0.0004556,0.0004556
80,2637.27,0.30958,0.20928,0.81638,0.90254,0.96629,0.97148,0.89158,0.40938,0.2798,0.87737,0.0004358,0.0004358,0.0004358
81,2670.25,0.30799,0.20856,0.82329,0.92206,0.93045,0.96924,0.88888,0.41865,0.29954,0.87886,0.000416,0.000416,0.000416
82,2703.26,0.3067,0.20557,0.82376,0.93171,0.91982,0.96618,0.88446,0.42193,0.30259,0.87958,0.0003962,0.0003962,0.0003962
83,2736.23,0.30373,0.2048,0.82251,0.90372,0.95506,0.96071,0.87451,0.43186,0.29306,0.88199,0.0003764,0.0003764,0.0003764
84,2768.28,0.30225,0.20503,0.8231,0.93332,0.94365,0.97018,0.89654,0.41469,0.29358,0.88366,0.0003566,0.0003566,0.0003566
85,2801.15,0.3043,0.20059,0.8226,0.91303,0.94369,0.96876,0.89063,0.41548,0.30044,0.88294,0.0003368,0.0003368,0.0003368
86,2834.12,0.29783,0.1981,0.81851,0.90417,0.95413,0.96616,0.89589,0.41758,0.32295,0.88392,0.000317,0.000317,0.000317
87,2867.08,0.29757,0.19308,0.81608,0.94292,0.92815,0.96763,0.89645,0.41012,0.31379,0.88318,0.0002972,0.0002972,0.0002972
88,2900.03,0.29067,0.18949,0.81749,0.95932,0.89888,0.97043,0.89424,0.4047,0.31929,0.87639,0.0002774,0.0002774,0.0002774
89,2933.02,0.29008,0.18959,0.81954,0.94944,0.91011,0.96851,0.89543,0.40482,0.33126,0.87655,0.0002576,0.0002576,0.0002576
